#ppt,,,,,,,,,,,,,,,,,,,,,,,,
,LOSA,SALO,SAND,LOAM,G_SALO,F_SALO,SNCL,CLLO,LOSA,SALO,SAND,LOAM,G_SALO,F_SALO,SNCL,CLLO,LOSA,SALO,SAND,LOAM,G_SALO,F_SALO,SNCL,CLLO
TIMESTEP,MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),VARIANCE(mm/d^2),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d),STD_DEV(mm/d)
2015-05-14T00:00:00Z,0.5526111,0.5526111,0.5526111,0.5526111,0.5526111,0.5526111,0.5526111,0.5526111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-15T00:00:00Z,1.6101017,1.6101017,1.6101017,1.6101017,1.6101017,1.6101017,1.6101017,1.6101017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-16T00:00:00Z,9.504331,9.504331,9.504331,9.504331,9.504331,9.504331,9.504331,9.504331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-17T00:00:00Z,0.018742481,0.018742481,0.018742481,0.018742481,0.018742481,0.018742481,0.018742481,0.018742481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-18T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-19T00:00:00Z,0.27034047,0.27034047,0.27034047,0.27034047,0.27034047,0.27034047,0.27034047,0.27034047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-20T00:00:00Z,5.93182,5.93182,5.93182,5.93182,5.93182,5.93182,5.93182,5.93182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-21T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-22T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-23T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
