Year	Month	Tmax	Tmin	PAR	Prec	CO2	O3
2012	12	26.93432	-2.85734	173.8	109.4579873	390	0
2013	1	25.4364	-7.80802	188.4	49.41916134	390	0
2013	2	20.7739	-6.72852	247.6	97.53651822	390	0
2013	3	25.879	-5.42444	354.9	59.03861946	390	0
2013	4	31.5952	3.14828	461.6	106.9117147	390	0
2013	5	32.8552	3.83148	496.1	86.07446284	390	0
2013	6	36.4317	14.401	531.8	332.4546584	390	0
2013	7	35.3009	18.9077	531.2	154.1537601	390	0
2013	8	33.82214	14.42666	445.4	104.2225533	390	0
2013	9	33.2269	9.82122	378.1	56.62414297	390	0
2013	10	32.201	-1.23563	309.5	62.25396265	390	0
2013	11	25.97158	-9.10566	215.5	47.66619048	390	0
2013	12	26.75872	-5.6003	173.8	123.3780884	390	0
2014	1	19.92327	-14.57856	188.4	80.25068235	390	0
2014	2	26.14095	-4.3157	247.6	97.43128487	390	0
2014	3	25.87814	-7.1966	354.9	121.5798753	390	0
2014	4	30.4353	1.20486	461.6	122.214591	390	0
2014	5	33.30496	8.02398	496.1	82.0102771	390	0
2014	6	35.78558	11.3278	531.8	67.02805991	390	0
2014	7	35.83627	16.22253	531.2	89.27098291	390	0
2014	8	35.6105	15.2235	445.4	93.82853234	390	0
2014	9	36.5574	12.799	378.1	171.1404109	390	0
2014	10	31.53192	4.08413	309.5	51.00039316	390	0
2014	11	25.76653	-8.02546	215.5	89.72451545	390	0
2014	12	22.90054	-2.84983	173.8	124.8608513	390	0
2015	1	22.4344	-11.2225	188.4	103.9137732	390	0
2015	2	21.39413	-13.0789	247.6	111.3353269	390	0
2015	3	29.76876	-5.21607	354.9	81.48197426	390	0
2015	4	29.95147	1.6887	461.6	73.67118634	390	0
2015	5	32.96673	8.23242	496.1	55.53090275	390	0
2015	6	38.7228	17.21285	531.8	166.92422	390	0
2015	7	36.71996	17.95754	531.2	51.81456076	390	0
2015	8	37.74066	15.14865	445.4	132.8835217	390	0
